PC1,PC2
-3.241371776395466364e-01,5.875575494201192850e-01
4.124355724652564170e-01,-3.412268936940333064e-01
-1.040911180256240076e+00,6.127829247417021508e-01
-1.459385069770698928e+00,-3.256171742183060491e-01
-7.042619217079117144e-02,-1.842867026875466996e+00
9.791980134788435208e+00,6.066369414448097963e+00
2.456389299238550095e+00,1.806648057670829477e+00
3.890527687260617817e+00,1.521601245040592687e+00
-5.642239493116281146e-01,7.356214630978979985e-01
-1.345178844446713651e+00,1.467948993277042036e-01
4.954135898153098627e-01,-8.107483925711647665e-02
1.734990507423123773e+00,-2.081987879888884951e-01
2.540561966227796176e-01,-2.464980873425524355e-01
5.981625268798500539e-01,-3.158380586261949063e-01
9.145500978616136201e-02,-1.091650802304884094e+00
1.183011599594107288e+00,-1.552520437004742293e+00
-3.474664415299710124e-02,-9.911566283715873560e-01
6.516198084631147580e+00,3.137594217581740175e+00
2.572523175798902439e+00,-1.247972891716420563e+00
3.867053441700705196e-01,-5.909766342497869696e-01
1.188036811424184336e+01,8.720588866522962945e+00
7.070499560199182687e-01,8.835549654418081711e-02
2.061604296136638759e+00,-7.255317123340450092e-01
-1.064449372573534003e+00,-1.705065830576164565e+00
2.381467314632399607e-02,8.702334543990929427e-01
5.662679651096182987e-01,1.957370159205567839e-01
6.044977597376448575e-01,1.733719754479470243e+00
7.434163584690827165e-01,-2.395173096011870076e-02
7.293870038553172952e-01,5.256024511415201550e-01
-1.827748460659384788e+00,1.555664597076179823e-01
-1.908093024748256927e-01,4.951324126601093778e-01
-4.899912278657586051e-01,8.076889484343154901e-01
-2.491917321177683498e+00,1.790623051888832418e+00
-9.419433165969247623e-01,4.466688842419851424e-01
9.742940259000539838e-01,-8.400644129613750177e-01
1.126577887901056146e-01,-9.590165450384888768e-01
4.213324167430719525e-02,-3.176613568497991258e-01
1.568005437758316134e+00,-3.744363172771199011e-01
1.216493952766017017e+00,-1.092995401761180263e+00
1.508235144925966775e+00,3.571628589194293824e+00
1.270471460933637019e-02,-4.492156825807931964e-01
1.147053455562291990e+00,-1.504372036617231512e+00
5.862800558092498004e-01,1.777443514207482644e-01
-1.289137319794903203e+00,1.481394543406168385e+00
3.324047892040778995e-01,-1.224352146523106089e-01
-3.427935182113580059e-01,3.645064899439146022e-01
2.921086765792423545e+00,1.215266681175312335e+00
-2.807009812399214876e-01,-1.706447308426984444e+00
2.881470254405972820e-01,9.739903889374121326e-02
1.792434741083789085e+00,-7.127737943875847026e-01
-1.744571135728661293e+00,-5.564871169699650011e-01
4.304078803577757739e-01,3.671882175052994246e-02
4.876403764498896010e+00,2.462548954074135210e+00
-4.041289820189652993e-02,-2.258511302058819614e-01
1.398950433459036802e+00,-1.566754984257891836e+00
9.347687018153908456e-01,-3.644792201064991910e-01
1.516338012829390847e+00,9.474912927455200751e-02
-4.155882302976932618e-01,2.197081849809039145e-01
-1.388963442845327634e-01,-7.011147002283814045e-01
3.733541410293082508e-01,9.213907765761665258e-01
2.338868164111403969e-01,-5.340849441442319101e-01
-2.057618757934075227e+00,1.073946536753306091e+00
1.380372358662860011e+00,-1.754837334588446485e+00
2.956704985543055830e+00,4.024288099618185122e-01
1.043328417141470510e+00,-1.087037235895527365e+00
1.966937870059703553e+00,2.079164536630365046e+00
-5.897686070624647003e-01,1.479169184765721512e-01
-6.133258978264524153e-01,-8.143920475069253706e-02
-2.028487880463070991e-01,-1.966285907766364693e-01
-4.509027486394647788e-01,-7.601312599743237364e-01
1.818842935558949048e+00,-9.859002381117003555e-01
1.089074197746054296e+00,-2.577497762926123759e+00
3.809749345485752281e-01,-6.656070488859158196e-01
2.764094991739569185e+00,-8.049778499584590019e-01
3.866408221266430356e+00,-3.033826878530209159e-01
-5.812852051489659777e-01,-2.088025363766695452e+00
1.460119816893876887e+01,9.650900463521130845e+00
-2.577290565435259029e-01,2.775218924507796836e-01
9.958660816282165484e-01,-4.774407838268473481e-01
-7.938680123107209052e-01,-4.335771317923652890e-01
-4.947874646081830141e-01,-4.503500592939141955e-01
2.769821448485832449e-01,-9.194805272211953318e-01
-9.397168865006050309e-03,-1.051185165976839253e-01
-3.776146115232341394e-02,-7.609806099966412996e-01
1.688154431419838675e+00,-1.372148402959250779e+00
-1.312735299978154524e+00,-1.261643605752765351e+00
3.000759060474955109e-01,-1.977942310974907247e-01
3.987414135691172423e-01,-5.242166625023472748e-02
5.335349807938888356e-01,-8.802021383801099663e-01
-4.113380505454905522e-01,-8.279274088973377632e-02
2.688578358569533311e+00,2.026425174752230607e+00
4.459612188363124119e+00,2.965381868569921142e+00
1.807740539025589399e+00,4.236195358247239057e-02
-2.232648211393433446e-01,-4.120107365310525238e-01
-6.111917663037046422e-01,-6.156770302094817238e-01
-9.136610126249891106e-01,2.027472172091013380e+00
