PC1,PC2
1.214291612774284213e+00,-2.888450688872030714e-01
-6.703475183387427982e+00,4.084904338797298307e-01
2.829542419206411363e+00,-1.044468114954530735e+00
-1.700682197846633992e+00,-1.285995916137248729e+00
-7.951127223167031577e-01,3.212700528314345605e-01
-6.115408987831253640e+00,7.189300509404405126e+00
-4.561857503108353917e+00,2.419683629578901485e+00
6.861975584201026601e-01,2.618828859406127751e+00
4.987688519698349587e+00,-1.126671963752966077e+00
-9.204755498592086527e-01,-1.714392604519304530e+00
1.927424956465245698e+00,1.105712256181175940e-01
1.341812080635394588e+00,1.063881896076388944e+00
3.472249511669308619e-01,1.437136288817407737e+00
1.022061604478068819e+00,-3.018261473575084564e-02
-5.298891941845310649e-01,-9.718194431982534187e-01
-1.850949388744635549e+00,1.916796914341385216e+00
-7.727545799685361372e-01,5.524906526031407861e-01
7.318819767146678146e-01,5.234515074805234924e+00
-1.009282595482547285e+00,2.617150513505989817e+00
-3.858364419595253780e-01,8.386142779250598256e-01
-6.227393839396633268e+00,8.450132289870435187e+00
-3.959507457964748789e-01,3.594566756809544072e-01
7.903841762359973266e-01,2.568959943354137021e+00
-6.699655294687131502e+00,-1.188663278782032595e+00
2.032298210513434622e+00,3.844673810622589727e-02
-1.269776238992240458e+00,2.635281475469886114e-02
1.670270779090971436e+00,-2.207565857863300340e-01
1.358059482566302600e+00,1.431843026160077859e-01
1.008763603073984383e+00,-1.668596758652562961e-01
-1.836350355843980875e+00,-1.511779750248979370e+00
1.454202997325155788e+00,9.595858362965759003e-02
-2.816260343544108591e-01,5.618838450259506789e-01
1.337191095093825499e+00,-4.246829198574964437e+00
2.237627086512432584e+00,-1.247476817494502566e+00
-2.619116874676179485e-01,5.478734944872436508e-01
-2.426963465297814482e-01,-1.035243425881277490e+00
-7.214383717003712837e-01,-2.052323240080518030e-01
-2.271985605132263997e-01,3.439573568247536350e+00
1.772287229403412823e-01,8.545080716082250616e-01
7.052814287527919390e+00,1.036927618621490854e+00
-1.298227962263600821e+00,-2.707009562389446344e-01
1.516039396939017569e+00,8.227410756108103351e-01
-8.553566123272328126e-01,-3.725198364356385183e-01
4.782901239834772333e+00,-1.822489326326625747e+00
3.216219755687259596e-01,1.837715767406051581e+00
5.126233588520844320e-01,-3.571386650930831186e-01
3.168542079805081624e+00,3.735331321883383460e+00
-2.134942040371933913e+00,-1.080287772253336165e+00
1.375614531462141521e+00,7.551006883339310694e-01
1.201567871790948372e+00,1.531923839100589824e+00
-1.089591179797357423e+00,-7.470966412573895044e-01
4.987197074460681390e-01,6.346593023375012299e-01
6.645687222422876905e-01,4.191184485092121825e+00
1.270960030351742098e+00,-8.775006236255991077e-01
