PC1,PC2
1.327323447254409761e+00,9.595963719264068159e-02
-7.371898296737611211e+00,9.136661818561038206e-01
2.965714806741252652e+00,-1.309132828069096810e+00
-1.760819718430081338e+00,-1.393624426463040189e+00
-7.188855974623236111e-01,-8.408355571052488209e-01
-7.302340537251037489e+00,1.479728927369649405e+01
-5.099444753326455526e+00,4.262267533349086257e+00
6.763144503077020975e-01,4.317282390277224380e+00
5.225831235830178834e+00,-9.007769330846461253e-01
-1.026275519816087778e+00,-1.734883691686282647e+00
2.000806475629038239e+00,-2.573981787938522947e-01
1.369711009219259479e+00,1.095356898784870525e+00
6.014575234573643625e-01,2.963067478005569355e-01
1.043948427018281722e+00,9.642021192504428295e-02
-6.204102592522895421e-01,-1.185914923103537744e+00
-1.832891893041370901e+00,8.556315508277245740e-01
-6.926163110291070346e-01,-4.016554779221875870e-01
7.297707114817526541e-01,8.049073920030101803e+00
-1.035373888399770737e+00,1.710253039446685275e+00
-3.166564947771532412e-01,1.586389471997835809e-01
-7.775673315684437981e+00,1.978107082103665704e+01
-4.469425680069971096e-01,6.864233554309734364e-01
8.825017034969209195e-01,1.940311411327770186e+00
-7.116728275725850317e+00,-1.607082582645669167e+00
2.042859630587187336e+00,1.103307632606839866e-01
-1.380518412494944558e+00,6.481690506651116568e-01
1.700307657973343600e+00,1.312682724205365803e+00
1.290322504135484660e+00,2.425143941829467908e-01
7.901502626460527035e-01,5.786240511996694202e-01
-1.798847472892527000e+00,-1.270990389478791505e+00
1.633325994428727945e+00,4.604881631388583751e-01
-2.170110244926540810e-01,1.443739188358805214e-01
1.049886588903797380e+00,-1.941025091963358928e+00
2.424030627320250542e+00,-1.355910504118914117e+00
-2.293286887571033550e-01,5.395302705497686396e-02
-4.352042127905356161e-01,-1.050786691304175680e+00
-6.992716996903959314e-01,-1.249863130220824625e-01
5.371662449318925781e-02,2.089342561631773343e+00
1.560979930175941388e-01,3.542032089779874049e-01
7.311408604030217973e+00,3.164833283966807187e+00
-1.325229664772622273e+00,2.463497902475464060e-02
