PC1,PC2,PC3
1.327323447254401545e+00,9.595963717766405054e-02,5.314032505828918396e-01
-7.371898296737603218e+00,9.136661818495637188e-01,9.939451680687760859e-02
2.965714806741286846e+00,-1.309132827980534097e+00,4.187602904412753013e-02
-1.760819718430068237e+00,-1.393624426405224437e+00,1.022633463172007429e-01
-7.188855974623056255e-01,-8.408355570553989189e-01,-1.809530192311813224e+00
-7.302340537250839425e+00,1.479728927367764868e+01,6.937868012709630605e+00
-5.099444753326399571e+00,4.262267533345805326e+00,1.138833717764054398e+00
6.763144503077521685e-01,4.317282390257682678e+00,1.755280278305413777e+00
5.225831235830162846e+00,-9.007769330925530227e-01,9.292393011353707877e-01
-1.026275519816092441e+00,-1.734883691651252891e+00,6.294174262681411225e-01
2.000806475629026693e+00,-2.573981788080227928e-01,-2.390217989792561837e-01
1.369711009219308995e+00,1.095356898844231264e+00,2.520555117041334281e-01
6.014575234573917850e-01,2.963067478410864597e-01,-2.521412484918478025e+00
1.043948427018276393e+00,9.642021191520444567e-02,5.970336123496284841e-01
-6.204102592523381698e-01,-1.185914923156855538e+00,5.661480864067326424e-01
-1.832891893041394216e+00,8.556315507696236056e-01,-2.417491182501055214e+00
-6.926163110291096991e-01,-4.016554779163112321e-01,-1.685531084054820328e+00
7.297707114818592355e-01,8.049073920020177297e+00,2.111339842362467856e+00
-1.035373888399714115e+00,1.710253039501969052e+00,-1.733261424445601273e+00
-3.166564947771317584e-01,1.586389472331861672e-01,-1.417171159436924510e+00
-7.775673315684154652e+00,1.978107082104641279e+01,1.062374871158646528e+01
-4.469425680070034934e-01,6.864233554045942043e-01,2.231422924749115189e-01
8.825017034969298013e-01,1.940311411296038901e+00,-1.627313560849420471e+00
-7.116728275725888508e+00,-1.607082582666848447e+00,-1.738973170977920757e-01
2.042859630587187780e+00,1.103307632586139342e-01,2.738041011359204635e-01
-1.380518412494930347e+00,6.481690506731948576e-01,8.797660060777656721e-01
1.700307657973319175e+00,1.312682724130612488e+00,2.205417653723904969e+00
1.290322504135468007e+00,2.425143941473287823e-01,5.886531816216956647e-01
7.901502626460529255e-01,5.786240511826580279e-01,1.545991479455283812e+00
-1.798847472892612931e+00,-1.270990389592509651e+00,3.643678208717321398e-01
1.633325994428737049e+00,4.604881631429942890e-01,1.990611616179914223e-01
-2.170110244926360954e-01,1.443739188634286241e-01,-1.028384939396169040e+00
1.049886588903795159e+00,-1.941025091921555923e+00,4.858531960604105748e+00
2.424030627320281184e+00,-1.355910504038219777e+00,3.735215050579531737e-01
-2.293286887571042154e-01,5.395302705462270976e-02,-6.027639391437890071e-01
-4.352042127905390023e-01,-1.050786691284500529e+00,8.587552981940963504e-01
-6.992716996904089211e-01,-1.249863130406313194e-01,4.012422158039752329e-02
5.371662449326157496e-02,2.089342561705854528e+00,-3.581016756633792930e+00
1.560979930175878105e-01,3.542032089588677546e-01,-4.815332160886566792e-01
7.311408604030337877e+00,3.164833284089378029e+00,2.522720752372515918e+00
-1.325229664772641813e+00,2.463497899289180532e-02,2.364748273035455761e-01
1.640980833953029183e+00,-1.966039534049115467e-01,-1.277449983250247723e+00
-1.041627534636996533e+00,3.698178928674651367e-01,1.455849857594117669e+00
4.932954264895593965e+00,-1.024156411911634867e+00,1.712566178209308898e+00
5.388400369224072284e-01,8.842485942321451908e-01,-2.423299299461689760e+00
5.212500166949278757e-01,-2.928382731433125108e-01,6.452485621887432687e-02
3.605482060452543713e+00,3.687754545652345950e+00,-1.582548439754545289e+00
-2.387725973105378152e+00,-1.198426000071661779e+00,6.266668850721874851e-01
1.554385138826399171e+00,4.023246739287858476e-01,-8.017594831615432183e-01
1.130751419892843446e+00,9.889640292691401768e-01,-6.928075701251921181e-01
-9.006116662813501428e-01,-1.451740859821982532e+00,-1.177683118406514851e+00
5.913810284530996997e-01,4.788740374992477289e-01,-4.425367158481623986e-01
7.711904076725168977e-01,6.205520305796660807e+00,1.174116129141442366e+00
1.188538468176478125e+00,-7.563033032759050034e-01,1.045132038832412125e+00
1.109667456487760662e-01,8.642526633702778405e-01,-2.501098778404182266e+00
9.811317274445188197e-01,1.145515679013373145e+00,-2.449465900943604613e+00
1.585833639669931072e+00,1.408797640028557119e+00,-1.037525712125276778e-01
-3.667228140921673374e-01,-4.734705466736655599e-01,1.390085275526082187e+00
-1.488979549487803589e-01,4.200079379231734800e-01,-3.229013038498316224e+00
3.259148254308624981e+00,4.130324423427664815e-01,1.009174234706650797e+00
1.814746989473457583e+00,1.460218284788864784e-01,-1.793737395377646759e+00
1.170510472942911218e+00,-1.353143242203802110e+00,1.087788899641646267e+00
-1.246701149404802367e+00,6.231029601279350905e-01,-1.618307479072217170e+00
1.957119070512625403e-01,3.258263125598539478e+00,-8.752549539874662776e-02
6.882552627839215453e-02,2.456548944168727988e-01,-1.422101421594101245e+00
1.440857636599247904e+01,2.671466974622570767e+00,1.037979065990136007e+00
-8.895324676648193041e-01,-9.157240224928964167e-01,2.452201504936541543e+00
-1.762413217209216898e-01,-8.943370063496501876e-01,4.286665710507817084e-02
6.834914984415315642e-01,-5.216081587344167936e-01,7.876145226722244264e-01
-2.518240701590634067e+00,-3.799827372643918011e-01,1.660402373469764548e-01
-5.345972056885994750e-01,1.136906293074328556e+00,-1.061492755939625887e+00
-3.004000343304479959e+00,-8.438061867670318406e-02,-1.719980539196564129e+00
2.132044010966535341e-01,2.915702384942826519e-01,-1.715532890339393823e+00
-9.100072736029779508e-01,2.372096558026739910e+00,-1.566994678766964189e+00
5.628761587320743054e-01,3.595442975873198055e+00,-2.276513986533455824e+00
-7.247271192607482426e+00,-1.637868233900898751e+00,-5.322518029007425877e-01
-5.663034944063702891e-01,2.087535827316642312e+01,7.096766692503292617e+00
-9.626375895623486834e-01,1.551682797592293106e-01,-6.183627201311805988e-02
7.913580885423178168e-01,7.931603334719364851e-01,-7.965562835242794293e-01
-2.182642870402918156e+00,-9.132594029542675518e-01,-4.645981937708008047e-01
5.963220097103300033e-02,-5.618500172003195736e-01,-1.111811319300119560e+00
4.140512873524282988e-01,-2.498652626557162082e-01,-2.325920276861067060e-01
-7.359582241523518475e-02,2.216179286014654526e-01,-1.085114664628199055e+00
-5.719425229510008535e+00,-1.179863453481555524e-02,-1.267313455984952375e+00
3.598118852391248290e-01,1.029426860905528152e+00,-2.272321581733726781e+00
-2.745516696103461829e+00,-2.105166214283880066e+00,7.072048007274873704e-01
1.935365446154126978e+00,4.016601414137110221e-02,-1.294736418876949735e-01
-4.745014429566368541e+00,1.289617801308135636e+00,-8.570080042902126216e-01
-1.602215841589813006e-01,2.804236795233324142e-01,-1.514706569338388764e+00
6.239978631945907184e-01,-5.179206395137785357e-01,2.194325507509007345e-01
4.795342012535886433e-01,3.917804818667447453e+00,1.694567189684432318e+00
1.876248493678017271e+00,5.847255438580860165e+00,1.733728962042568655e+00
9.139527358791231793e-01,1.740732661135906856e+00,-3.816654741044268606e-01
1.345767128950533742e+00,-7.170417126663635177e-01,-1.151827910674630973e+00
1.130575029965962042e+00,-1.034569318389465309e+00,-3.038034547274570119e-01
