PC1,PC2
-3.241371776395462478e-01,5.875575494201190629e-01
4.124355724652570832e-01,-3.412268936940343056e-01
-1.040911180256240964e+00,6.127829247417059255e-01
-1.459385069770700261e+00,-3.256171742183082696e-01
-7.042619217079072735e-02,-1.842867026875463221e+00
9.791980134788444090e+00,6.066369414448072206e+00
2.456389299238550983e+00,1.806648057670822816e+00
3.890527687260619150e+00,1.521601245040589578e+00
-5.642239493116285587e-01,7.356214630978992197e-01
-1.345178844446714983e+00,1.467948993277032321e-01
4.954135898153103623e-01,-8.107483925711317374e-02
1.734990507423124884e+00,-2.081987879888858028e-01
2.540561966227800061e-01,-2.464980873425493546e-01
5.981625268798502759e-01,-3.158380586261933520e-01
9.145500978616141752e-02,-1.091650802304881651e+00
1.183011599594108620e+00,-1.552520437004739406e+00
-3.474664415299712900e-02,-9.911566283715851355e-01
6.516198084631148468e+00,3.137594217581730849e+00
2.572523175798904660e+00,-1.247972891716415678e+00
3.867053441700712413e-01,-5.909766342497855263e-01
1.188036811424185224e+01,8.720588866522927418e+00
7.070499560199188238e-01,8.835549654418020649e-02
2.061604296136640535e+00,-7.255317123340421226e-01
-1.064449372573534891e+00,-1.705065830576166119e+00
2.381467314632380872e-02,8.702334543990933868e-01
5.662679651096182987e-01,1.957370159205545079e-01
6.044977597376431921e-01,1.733719754479465580e+00
7.434163584690832716e-01,-2.395173096011686542e-02
7.293870038553180724e-01,5.256024511415195999e-01
-1.827748460659386787e+00,1.555664597076137912e-01
-1.908093024748265254e-01,4.951324126601078235e-01
-4.899912278657595488e-01,8.076889484343162673e-01
-2.491917321177686162e+00,1.790623051888824646e+00
-9.419433165969253174e-01,4.466688842419862526e-01
9.742940259000554271e-01,-8.400644129613713540e-01
1.126577887901061559e-01,-9.590165450384871004e-01
4.213324167430718137e-02,-3.176613568497994589e-01
1.568005437758316578e+00,-3.744363172771175696e-01
1.216493952766018349e+00,-1.092995401761176488e+00
1.508235144925965887e+00,3.571628589194288494e+00
1.270471460933655927e-02,-4.492156825807947507e-01
1.147053455562293101e+00,-1.504372036617223740e+00
5.862800558092499115e-01,1.777443514207462383e-01
-1.289137319794904091e+00,1.481394543406166164e+00
3.324047892040778995e-01,-1.224352146523089435e-01
-3.427935182113580059e-01,3.645064899439134920e-01
2.921086765792424433e+00,1.215266681175313890e+00
-2.807009812399210991e-01,-1.706447308426983556e+00
2.881470254405974485e-01,9.739903889374292023e-02
1.792434741083790861e+00,-7.127737943875802618e-01
-1.744571135728662625e+00,-5.564871169699654452e-01
4.304078803577759960e-01,3.671882175053068492e-02
4.876403764498897786e+00,2.462548954074128993e+00
-4.041289820189646748e-02,-2.258511302058799908e-01
1.398950433459038800e+00,-1.566754984257886951e+00
9.347687018153916227e-01,-3.644792201064960824e-01
1.516338012829391291e+00,9.474912927455311773e-02
-4.155882302976932063e-01,2.197081849809019716e-01
-1.388963442845328744e-01,-7.011147002283796281e-01
3.733541410293080842e-01,9.213907765761666369e-01
2.338868164111408132e-01,-5.340849441442279133e-01
-2.057618757934076559e+00,1.073946536753302539e+00
1.380372358662861121e+00,-1.754837334588443154e+00
2.956704985543055830e+00,4.024288099618167358e-01
1.043328417141471398e+00,-1.087037235895522258e+00
1.966937870059706661e+00,2.079164536630366378e+00
-5.897686070624654775e-01,1.479169184765688483e-01
-6.133258978264526373e-01,-8.143920475069060805e-02
-2.028487880463069326e-01,-1.966285907766356922e-01
-4.509027486394645012e-01,-7.601312599743256238e-01
1.818842935558951046e+00,-9.859002381116968028e-01
1.089074197746055184e+00,-2.577497762926118874e+00
3.809749345485756722e-01,-6.656070488859132661e-01
2.764094991739572738e+00,-8.049778499584557823e-01
3.866408221266434353e+00,-3.033826878530160309e-01
-5.812852051489659777e-01,-2.088025363766695008e+00
1.460119816893877065e+01,9.650900463521095318e+00
-2.577290565435270686e-01,2.775218924507772966e-01
9.958660816282169925e-01,-4.774407838268446280e-01
-7.938680123107212383e-01,-4.335771317923664547e-01
-4.947874646081834027e-01,-4.503500592939133074e-01
2.769821448485838000e-01,-9.194805272211928893e-01
-9.397168865006074595e-03,-1.051185165976839531e-01
-3.776146115232362210e-02,-7.609806099966407444e-01
1.688154431419839785e+00,-1.372148402959244784e+00
-1.312735299978154968e+00,-1.261643605752765573e+00
3.000759060474962325e-01,-1.977942310974884210e-01
3.987414135691182970e-01,-5.242166625023647608e-02
5.335349807938893907e-01,-8.802021383801068577e-01
-4.113380505454907188e-01,-8.279274088973324897e-02
2.688578358569533311e+00,2.026425174752223946e+00
4.459612188363123231e+00,2.965381868569913149e+00
1.807740539025590953e+00,4.236195358247354936e-02
-2.232648211393437609e-01,-4.120107365310492487e-01
-6.111917663037053083e-01,-6.156770302094792813e-01
-9.136610126249897768e-01,2.027472172091016045e+00
-4.795046773978858812e-01,6.648472521457431395e-01
-7.702969079874394387e-01,9.789503992487242900e-01
1.346399746362546557e+00,7.909712164406206281e-01
-1.153635952426598443e+00,2.231348002345293069e-01
9.220532781811030532e-01,8.785490003821558869e-01
9.467713266139162753e-01,1.684084789871514998e+00
-5.741772621460729947e-02,3.785159359798631606e-01
-8.907896139573867611e-01,-5.733460213900968272e-01
-6.658600553973202663e-02,7.736319468069381700e-02
-3.088917208135729009e+00,1.269589708956704754e+00
9.304718070008467734e+00,4.125349446337545523e+00
1.185021718227348364e+00,1.893585951481462581e+00
4.361885192907091757e-01,-9.512303473064001036e-01
-1.135505410774263479e+00,-3.470765291482065251e-01
7.912312515593671325e-01,-1.097200513749314044e-01
2.167666146113219394e+00,1.192204198174613650e+00
1.386140826087140232e-01,-5.785449492094774104e-01
1.519340300344318717e-01,3.075165935796268513e-01
3.375032309214722609e-02,-2.546035171776951933e-01
9.691449514069017113e-01,-2.930405108385422674e-01
2.536455437208922525e+00,-1.087945380721820232e+00
-5.824314241983170604e-01,-4.727127853853907435e-01
1.918356604527849285e+00,-2.580558304385433543e-01
-2.773269879681595218e-01,2.352437602960151253e-01
-1.001837457051807601e+00,-1.153505455066356628e-01
8.063254241291512026e-02,-3.031213919409679880e-01
8.776150906326356527e-01,5.849781522522835842e-02
2.289864704321531885e+00,9.408636426429344279e-01
2.557533884050847695e-01,9.774934754039965590e-02
-8.425876858096017497e-01,-1.159468420054861504e+00
-1.327296724640737668e+00,4.171057888744257314e-01
-5.626559140133809978e-01,-6.712579504890753279e-01
-5.911656760523253951e-02,-5.541070998271591108e-01
7.610693490959319352e-01,-1.759726759719399541e-02
-1.523065338330982899e+00,1.730254602218062487e+00
-7.651734915339699628e-01,-6.582275039646323656e-01
1.125928317689297853e-01,-1.407566787819261034e+00
-9.688199563965933514e-01,3.690976022945291479e-01
-9.613747429048817850e-01,4.557786899524853830e-01
-2.404904780801659092e-01,5.120119858352705222e-01
-4.511035239022014309e-01,-9.143978890744866028e-01
1.474154486459037683e+00,3.794011369499899478e-01
1.633668978906755720e-01,9.132248525807082906e-01
1.965788404955354673e+00,2.187875586310457088e+00
7.179914399078598519e-01,-4.911295894982783405e-01
9.103959783397347350e-01,7.465135234385371632e-01
8.453977599553500477e-01,1.132898607228032484e+00
1.105318653725120281e+00,1.228301865974298801e+00
-7.518746601825866405e-01,4.191870252485138670e-02
1.385597750853861942e+00,-6.384937032847992633e-01
-3.918552204683674045e-01,-1.752023829380955910e-01
9.044552928588356355e-01,-8.664685935423056817e-02
6.448948909763994042e-01,-1.280181074275150710e+00
7.573379776423950771e-01,5.927749617614652689e-01
-3.855540607687396037e-01,-1.665135685669511673e-02
-1.143763460812027510e+00,-5.188089018507657801e-01
-6.340988579388896762e-02,-1.518253588280435995e-01
1.436989821644056642e+00,1.690988479823972268e+00
1.077849379110526806e+00,1.294867290745168598e+00
-6.834593862362581262e-01,5.077221034344367445e-02
1.850958636320797046e+00,-4.556453721674967317e-01
1.236656506091142083e+00,-3.194652788689866241e-01
1.021383240327303321e+00,-3.418615318247479884e-01
-3.461333610100585934e-01,2.928646661744993551e-01
4.926332050546365693e+00,2.097378220013544681e+00
2.622507899163856404e+00,1.549953095068455244e+00
4.330793197050564203e-01,-1.065896455338422699e+00
1.110943425375783722e+00,-5.993196441311857692e-01
8.272995380340242288e-01,8.876328852956196780e-01
-7.856352380624318510e-01,-7.456927769750656410e-01
-8.622229457633699967e-01,-3.457918986499660674e-01
8.065087755475274234e-01,6.054092747880659431e-01
-8.957446177198312709e-01,-1.225555744508860734e+00
1.471341867320299368e+00,-1.937731292155915330e-01
-2.740749789043248619e-01,-1.678093097734893790e+00
1.561322198982697529e+00,4.306693451482140889e-01
6.221496619224662350e-01,-8.514209924014487507e-01
-2.196121765088601574e+00,2.218861831125384931e+00
3.875287829992558830e+00,1.175901651330186759e+00
3.448216440093805624e-02,-1.486969851491104944e+00
-3.690708254156697260e-02,-1.096616632551572046e+00
2.035370403816981533e+00,2.014538464071385260e+00
-3.405003647943757317e-01,5.568029529938669508e-01
4.535733092038777947e+00,3.714756346164612033e+00
3.025895600015585440e+00,1.175355925110633581e+00
-6.648048749684316583e-01,1.297577078186072264e+00
3.436539421291268104e-01,1.061878032637309621e+00
1.234114206407108449e+00,1.133587806478713489e+00
1.556332946303874420e+00,2.352606560208082009e-01
9.890419619520302019e-01,5.507789579245782052e-01
6.685238175268410910e-01,-3.818424494868439822e-01
5.326770693474265350e-01,-7.616177265831278742e-01
1.613129985654448095e+00,2.553037777330671720e-01
5.753829485726300597e-01,-3.784030372059972169e-01
5.190731902217383009e+00,4.318448370297711669e+00
-2.726891182533894398e+00,2.317602635719421933e+00
-1.704050152972765575e-01,4.320385782134184005e-01
2.234052027143495156e+00,7.604613045372471403e-01
2.039682059329107844e+00,5.799670396343369339e-01
1.799054357174829921e-01,3.956990511118577136e-02
1.157830866676443193e+00,-1.115421338154181097e+00
3.728267592167454403e+00,1.758817494551030203e+00
-6.115023835424617804e-01,2.697717917027475654e-01
9.615994432023277083e-01,2.463100129941162120e+00
-1.690554802232920317e-01,2.373600377775740566e-01
3.662608747774001028e+00,-5.703108018346554342e-01
-1.568842651845304692e+00,1.597705010244483859e+00
-1.653209813716470800e-01,-1.073706215591827551e+00
1.085125681826616673e-01,-2.593192204798652201e-01
7.097072305714133833e-01,-1.001539608181412966e+00
2.497351571116998237e+00,4.191031677953665491e-01
5.566012345624030688e-01,-4.051624315046707669e-02
2.701590015269034861e+00,-1.357676178555381252e+00
5.188350778540795627e-01,-1.500042462713402358e-02
2.313574248782682030e+00,-3.581954526000011296e-01
-3.624884738657920824e+00,1.691024592553649786e+00
-3.404237225044751680e-01,-3.613686344084102164e-01
-1.539392989675977486e+00,1.793650615365424805e+00
-1.094003297800309887e-01,-4.194728653586727862e-01
-2.027997852088879449e-01,4.867171642621011540e-01
1.329261439928657973e+00,-8.840844942762634551e-01
-9.821665640991479596e-02,1.295661699303660708e-01
1.124627582552307214e-01,2.494328209147775866e-01
5.730289927236695835e-01,1.849888432655230966e-02
-5.542855304677708483e-01,-4.032214658493501469e-01
-2.027374061124171511e+00,2.049497676821132153e+00
1.420856558758001098e+00,-3.601071562007672755e-01
1.817412400204316159e+00,-6.447778334223743801e-01
4.443142542225435310e-03,4.116441244043535508e-01
-2.096190118399220648e+00,-2.315684043477640452e-01
-2.062269941943827956e+00,1.677996938835641383e-01
2.303695231292953061e+00,1.573705972969452471e+00
2.666676598875565296e-01,-1.313202473319775798e+00
-1.587024329187534999e+00,4.588846613843993172e-01
5.661870578270554455e-02,-9.679488603843338090e-01
5.455658125259586766e-02,-5.628965383303546899e-01
1.659096872430467551e+00,2.025587581337811471e+00
1.135655373072601337e+00,-2.429237612327927731e-01
-7.628915655397608409e-02,-6.214847682687869579e-01
3.415548604998232651e+00,1.710953238861574022e+00
-2.279672020429932555e+00,2.679602301238702688e-01
-6.727853484004062135e-02,8.275884843905868538e-01
-6.583747880954599063e-01,4.429914073360321503e-01
3.510208271038244288e+00,2.793707703411255627e-01
2.783000172132421568e-02,-1.103390394807800989e+00
8.338206477183197629e-01,-9.078382350143776591e-01
2.907048552592538249e-01,-9.305152086638824871e-01
5.572761884716787018e-01,4.627982377369536660e-01
9.761123603655631698e+00,6.513330354775579423e+00
1.554125375216306448e+00,-5.103322515144270710e-01
8.156756772001666489e-01,-4.564626905734773810e-01
9.289188465514851556e-01,-1.663943737166848069e-01
8.374925862223551176e-01,2.307445314365210720e-01
-1.611002646381584635e-01,4.583941864817037137e-01
2.990229007743931411e-01,-3.173979301184622348e-01
-3.017888994242928558e+00,4.984761123832229246e-01
1.006045970874611534e-01,2.486254139762245075e+00
2.494531271520601667e-02,-2.094862443777524841e-01
-1.007066921029084128e+00,6.403736116965809133e-01
-9.259013876027812895e-01,-2.899544693158215836e-01
4.547824604925244651e-01,-8.415662655313816964e-01
-9.705286788372252671e-01,1.118759106744157683e-01
1.120148049652832878e+00,7.160143835809833490e-01
-3.994935833930945424e-01,4.184299480798184256e-01
8.402766146552521909e-02,-2.683369519578361340e-01
5.281941181699174592e+00,1.995273372193417938e+00
6.943444592901082402e-01,-9.343966389943327844e-01
-1.782881038027874510e-01,8.848843637143061214e-02
-5.722579469306046662e-02,-2.698764290125214016e-01
