PC1,PC2,PC3
-3.241371776395455262e-01,5.875575494201192850e-01,-2.669050019179848299e-01
4.124355724652567501e-01,-3.412268936940371922e-01,-1.600724486212120379e+00
-1.040911180256240964e+00,6.127829247417084790e-01,1.038285112847181502e+00
-1.459385069770701593e+00,-3.256171742183089912e-01,-1.119964091979015031e+00
-7.042619217079232330e-02,-1.842867026875464553e+00,1.075237378682161182e-01
9.791980134788456525e+00,6.066369414448059771e+00,-6.448995700731735781e+00
2.456389299238554980e+00,1.806648057670819485e+00,-1.910103670379188490e+00
3.890527687260622258e+00,1.521601245040586692e+00,-4.544204142415997350e-01
-5.642239493116281146e-01,7.356214630979016622e-01,1.078891701819912452e+00
-1.345178844446715649e+00,1.467948993277045366e-01,-9.158008705709430597e-04
4.954135898153105289e-01,-8.107483925711131412e-02,1.498231596190706005e+00
1.734990507423125550e+00,-2.081987879888856641e-01,9.804703564500600876e-01
2.540561966227799506e-01,-2.464980873425484942e-01,9.097559841850348938e-01
5.981625268798502759e-01,-3.158380586261930745e-01,5.494988677408677580e-01
9.145500978616043219e-02,-1.091650802304881207e+00,6.204907329033011454e-01
1.183011599594107510e+00,-1.552520437004742071e+00,-2.414785547738754201e-01
-3.474664415299812126e-02,-9.911566283715852466e-01,2.506005494507811404e-01
6.516198084631153797e+00,3.137594217581725520e+00,-1.838974191615344811e+00
2.572523175798904216e+00,-1.247972891716416344e+00,1.219534860856076097e+00
3.867053441700705751e-01,-5.909766342497858593e-01,2.132142650787557103e-01
1.188036811424186823e+01,8.720588866522909655e+00,-1.003285093133855099e+01
7.070499560199194899e-01,8.835549654417917953e-02,-3.073288483010771510e-01
2.061604296136640535e+00,-7.255317123340428997e-01,7.595071596250193569e-01
-1.064449372573537111e+00,-1.705065830576168118e+00,-1.500680259577225062e+00
2.381467314632476628e-02,8.702334543990954963e-01,9.473190005566352045e-01
5.662679651096188538e-01,1.957370159205532034e-01,-7.192316064963245603e-01
6.044977597376461897e-01,1.733719754479465580e+00,-5.061122690298551774e-01
7.434163584690834936e-01,-2.395173096011589398e-02,9.426203758440493408e-01
7.293870038553187385e-01,5.256024511415194889e-01,1.419101544321230701e-01
-1.827748460659387009e+00,1.555664597076125422e-01,-1.726094779505646049e+00
-1.908093024748257482e-01,4.951324126601073239e-01,-4.706928132035474444e-01
-4.899912278657593268e-01,8.076889484343188208e-01,9.124051016567705785e-01
-2.491917321177684830e+00,1.790623051888825312e+00,-1.688870819393162304e+00
-9.419433165969252064e-01,4.466688842419886951e-01,8.942236434656859467e-01
9.742940259000550940e-01,-8.400644129613710209e-01,1.017740809155515791e+00
1.126577887901053232e-01,-9.590165450384872114e-01,3.197976324012212768e-01
4.213324167430711198e-02,-3.176613568498003470e-01,-4.496460636239070219e-01
1.568005437758316800e+00,-3.744363172771178472e-01,7.478156966185453003e-01
1.216493952766017461e+00,-1.092995401761176044e+00,1.049116140175148759e+00
1.508235144925970550e+00,3.571628589194289383e+00,3.249308366846037632e-01
1.270471460933638580e-02,-4.492156825807970821e-01,-1.182774505826305944e+00
1.147053455562292212e+00,-1.504372036617222852e+00,1.838383727191332362e+00
5.862800558092504666e-01,1.777443514207453779e-01,-4.800848358340704669e-01
-1.289137319794902758e+00,1.481394543406168385e+00,3.176387193075351778e-01
3.324047892040778995e-01,-1.224352146523089990e-01,3.756857673241346118e-01
-3.427935182113578394e-01,3.645064899439137140e-01,-1.429283609644854125e-01
2.921086765792426654e+00,1.215266681175313890e+00,9.784163654345625627e-01
-2.807009812399230420e-01,-1.706447308426985110e+00,-6.913035959541168340e-01
2.881470254405977260e-01,9.739903889374393331e-02,7.482480039495238433e-01
1.792434741083790639e+00,-7.127737943875795956e-01,1.558269772887787230e+00
-1.744571135728664402e+00,-5.564871169699658893e-01,-8.890259011252144017e-01
4.304078803577763845e-01,3.671882175053109432e-02,4.443344286370154439e-01
4.876403764498903115e+00,2.462548954074124996e+00,-1.134393018992191804e+00
-4.041289820189668952e-02,-2.258511302058786863e-01,8.433638689147582301e-01
1.398950433459037468e+00,-1.566754984257886951e+00,1.192443685289988675e+00
9.347687018153917338e-01,-3.644792201064958048e-01,8.759274067316917822e-01
1.516338012829391957e+00,9.474912927455302059e-02,5.852122388015964516e-01
-4.155882302976930953e-01,2.197081849809017773e-01,-4.798366936035722286e-01
-1.388963442845336238e-01,-7.011147002283799612e-01,1.627263036161787357e-01
3.733541410293093610e-01,9.213907765761681912e-01,8.672910949376924084e-01
2.338868164111402859e-01,-5.340849441442269141e-01,1.076198332574053396e+00
-2.057618757934076115e+00,1.073946536753302095e+00,-1.254966368072685690e+00
1.380372358662859789e+00,-1.754837334588443820e+00,6.405615762728629203e-01
2.956704985543058051e+00,4.024288099618141823e-01,-2.690923819225612412e-01
1.043328417141470954e+00,-1.087037235895521148e+00,1.564592071477059143e+00
1.966937870059710214e+00,2.079164536630367710e+00,1.791013276399955334e+00
-5.897686070624652555e-01,1.479169184765680711e-01,-9.663711631091305154e-01
-6.133258978264533035e-01,-8.143920475068894271e-02,8.354545039821934527e-01
-2.028487880463071269e-01,-1.966285907766355256e-01,1.096942933192688180e-01
-4.509027486394655559e-01,-7.601312599743275111e-01,-1.212065075380622581e+00
1.818842935558950602e+00,-9.859002381116979130e-01,6.254479317874634958e-01
1.089074197746053185e+00,-2.577497762926120650e+00,3.562391075302794863e-01
3.809749345485751726e-01,-6.656070488859127110e-01,7.886567031636082525e-01
2.764094991739571849e+00,-8.049778499584573366e-01,6.912086190150599219e-01
3.866408221266435241e+00,-3.033826878530168636e-01,1.526483128601042516e+00
-5.812852051489686422e-01,-2.088025363766697229e+00,-1.028321395519221859e+00
1.460119816893878486e+01,9.650900463521081107e+00,-7.199000033143813759e+00
-2.577290565435267355e-01,2.775218924507766860e-01,-7.667282335232225021e-01
9.958660816282172146e-01,-4.774407838268447390e-01,6.080832775091303821e-01
-7.938680123107222375e-01,-4.335771317923670654e-01,-6.696070406334646563e-01
-4.947874646081838468e-01,-4.503500592939137515e-01,-1.833875094995589539e-01
2.769821448485831339e-01,-9.194805272211934444e-01,3.979612272207111445e-01
-9.397168865005953164e-03,-1.051185165976844665e-01,-2.720094776103233469e-01
-3.776146115232473233e-02,-7.609806099966414106e-01,-2.537932433256053777e-01
1.688154431419839119e+00,-1.372148402959244340e+00,1.668828516923835270e+00
-1.312735299978157189e+00,-1.261643605752766462e+00,-8.508859534858257412e-01
3.000759060474960660e-01,-1.977942310974873386e-01,9.357874125366967277e-01
3.987414135691181860e-01,-5.242166625023875204e-02,-1.214946546862524679e+00
5.335349807938888356e-01,-8.802021383801068577e-01,5.441864021581813704e-01
-4.113380505454908298e-01,-8.279274088973261059e-02,2.284384422749555499e-01
2.688578358569537308e+00,2.026425174752220393e+00,-1.402623312829524460e+00
4.459612188363129448e+00,2.965381868569909152e+00,-9.347223704761187246e-01
1.807740539025591842e+00,4.236195358247316078e-02,5.606075343949793455e-01
-2.232648211393440940e-01,-4.120107365310476943e-01,1.032242173726359624e+00
-6.111917663037059745e-01,-6.156770302094786151e-01,6.238109215991690659e-01
-9.136610126249883335e-01,2.027472172091020930e+00,2.443246089032490964e+00
-4.795046773978849375e-01,6.648472521457439166e-01,-1.373208683713962042e-01
-7.702969079874386615e-01,9.789503992487267325e-01,1.003028665305931488e+00
1.346399746362548333e+00,7.909712164406197399e-01,-2.971421538280445418e-01
-1.153635952426599109e+00,2.231348002345303339e-01,-2.047870789580460427e-01
9.220532781811043854e-01,8.785490003821569971e-01,7.990249765873327359e-01
9.467713266139182737e-01,1.684084789871516552e+00,9.674013274200603529e-01
-5.741772621460679987e-02,3.785159359798626610e-01,-4.061582352331918888e-01
-8.907896139573876493e-01,-5.733460213900971603e-01,-2.740252613156694550e-01
-6.658600553973186009e-02,7.736319468069405292e-02,3.829456245789210345e-02
-3.088917208135729009e+00,1.269589708956706531e+00,-9.126912331054808369e-01
9.304718070008473063e+00,4.125349446337540193e+00,-3.442523868606069959e-01
1.185021718227351251e+00,1.893585951481462581e+00,3.165533264728644935e-01
4.361885192907083986e-01,-9.512303473063997705e-01,7.489558646472352921e-01
-1.135505410774264146e+00,-3.470765291482069692e-01,-7.700388301468694685e-01
7.912312515593675766e-01,-1.097200513749300166e-01,1.450891216140751450e+00
2.167666146113222059e+00,1.192204198174612095e+00,-1.660241278725433922e-01
1.386140826087135791e-01,-5.785449492094764112e-01,9.193248774480852203e-01
1.519340300344323436e-01,3.075165935796288497e-01,1.429672321580274685e+00
3.375032309214721915e-02,-2.546035171776950823e-01,6.751506317795222256e-02
9.691449514069014892e-01,-2.930405108385429891e-01,1.442731227565232643e-01
2.536455437208921193e+00,-1.087945380721821786e+00,8.022110502483593697e-01
-5.824314241983177265e-01,-4.727127853853907435e-01,-1.668588429431975828e-01
1.918356604527849729e+00,-2.580558304385439650e-01,6.680591893791822944e-01
-2.773269879681594108e-01,2.352437602960161522e-01,4.780099336955084821e-01
-1.001837457051808045e+00,-1.153505455066359681e-01,-6.622750320630680365e-01
8.063254241291507862e-02,-3.031213919409672108e-01,6.107103100630777437e-01
8.776150906326362078e-01,5.849781522522807392e-02,1.945083476339831141e-01
2.289864704321533662e+00,9.408636426429322075e-01,-7.551756719972206877e-01
2.557533884050853246e-01,9.774934754040082163e-02,7.751951481728881488e-01
-8.425876858096033040e-01,-1.159468420054862392e+00,-6.585819650526629765e-01
-1.327296724640738113e+00,4.171057888744255093e-01,-1.217291613971470454e+00
-5.626559140133815529e-01,-6.712579504890749948e-01,-8.345620182883373150e-03
-5.911656760523334442e-02,-5.541070998271601100e-01,-7.074940711185635500e-01
7.610693490959323793e-01,-1.759726759719333622e-02,6.754079378198457606e-01
-1.523065338330982010e+00,1.730254602218063598e+00,-4.435993320814333174e-01
-7.651734915339711840e-01,-6.582275039646331427e-01,-7.275921355974379612e-01
1.125928317689283559e-01,-1.407566787819261034e+00,4.333823718390108493e-01
-9.688199563965933514e-01,3.690976022945298141e-01,-2.538611712564730061e-01
-9.613747429048815629e-01,4.557786899524848279e-01,-1.066832361831404619e+00
-2.404904780801651321e-01,5.120119858352710773e-01,-2.716084475660629494e-02
-4.511035239022026522e-01,-9.143978890744880461e-01,-6.554769223581088378e-01
1.474154486459038571e+00,3.794011369499895592e-01,2.153302535549132257e-01
1.633668978906762659e-01,9.132248525807062922e-01,-1.612574829288926148e+00
1.965788404955358670e+00,2.187875586310456644e+00,-3.609501920341790515e-01
7.179914399078594078e-01,-4.911295894982781185e-01,8.733891422246525815e-01
9.103959783397357342e-01,7.465135234385376073e-01,7.374096640852596529e-01
8.453977599553526012e-01,1.132898607228031373e+00,-1.018278941634434442e+00
1.105318653725122280e+00,1.228301865974296581e+00,-1.297635776699141097e+00
-7.518746601825867515e-01,4.191870252485144221e-02,-4.404604272868899439e-01
1.385597750853862165e+00,-6.384937032847984861e-01,1.351770053778856617e+00
