PC1,PC2
6.487216591126801823e+00,-6.160140632690086493e-01
1.098277731023094672e+00,-1.075149987954962860e+00
7.344811722181236568e+00,-1.152596490353130942e+00
-9.636464362928591487e-02,-1.090926473318391210e+00
1.898451546669127410e+00,-1.089103007920354305e+00
1.563169776595659588e+00,-1.032999896711842558e+00
-8.956199592606555182e-01,-1.027281883943226948e+00
-3.558056963551971957e-02,-7.890828019264023441e-01
7.809936350022546048e-01,-7.415573905089464235e-01
-1.723873998372581262e+00,-9.980819537238535544e-01
-5.410151294833586144e-01,-1.118469482076260624e+00
6.044650554571554757e+00,-7.105787429825224377e-01
2.908382974692800826e-01,-1.062499433282551475e+00
7.754210655963884591e+00,-1.054300959745017474e+00
-9.619601896893846538e-02,-1.090766825239092075e+00
1.898178068129072971e+00,-1.089361928078053987e+00
1.562368962754155044e+00,-1.033758079953895903e+00
-8.994560169884142642e-01,-1.030913732612664946e+00
-3.714332166956151732e-02,-7.905623622714997856e-01
3.390616271699149475e-01,-8.355217934442954464e-01
-1.724179239666839170e+00,-9.983709457743085158e-01
-5.410705610080691619e-01,-1.118521962753964649e+00
-1.619149564051295398e+00,-8.907861400627287152e-01
8.561094302417895374e-01,-7.667977212483182425e-01
1.429290977755921510e+00,-5.298200993972419504e-01
-1.764190062176174481e-02,-1.042269201946205204e+00
1.304173800439723196e+00,-8.202659034700953145e-01
5.514129829545688644e-01,-6.173766905930794247e-01
-7.582617760451899613e-01,-6.230219345087705252e-01
-1.269895762054192190e+00,-7.782821667621181438e-01
-1.696311443746411074e+00,-1.055656734264886598e+00
-1.666648568189898150e+00,-8.703173837705945326e-01
-1.619511463231430026e+00,-8.911287738678280723e-01
8.515056704240127061e-01,-7.711564040824198107e-01
1.429726335969909279e+00,-5.294079170834149473e-01
-1.718078882328433546e-02,-1.041832637016630869e+00
1.298912711036882772e+00,-8.252469235442282391e-01
5.543770978931854554e-01,-6.145703676282355810e-01
-7.593372947879153401e-01,-6.240401989854639231e-01
-1.272417405884057162e+00,-7.806695731668810145e-01
-1.698688622230901890e+00,-1.057907365806075362e+00
-1.667521124159623280e+00,-8.711434900136588722e-01
-2.793339690891228244e+00,-4.083647256685549731e-01
-2.794179940993481548e+00,-4.049403701448071047e-01
-2.928837016662620307e+00,-4.034348659656852298e-01
-2.624440424474396849e+00,-3.930562978685527842e-01
-2.721284246461266765e+00,-3.892903726862352309e-01
-2.532848165626611081e+00,-3.754200010274459931e-01
-2.820928902122314064e+00,-3.741099290914247089e-01
-2.765189313384872616e+00,-3.667242161422586966e-01
-2.937659642736280663e+00,-3.674791329663323891e-01
-2.805733379899465252e+00,-3.578554816932736360e-01
-2.807273838420262901e+00,-3.515774965664024698e-01
-2.942000934931256140e+00,-3.497866294269682541e-01
-2.866864573459698917e+00,-3.432682466983907332e-01
-2.949563185851536318e+00,-3.189674297132373271e-01
-2.897815784640232373e+00,-3.734942378121941520e-01
-2.754246558242867238e+00,-3.417330337540012142e-01
-2.766010059674413935e+00,-2.937920564215308339e-01
-2.817478377058734385e+00,-3.185849099497485293e-01
-2.870487152963852484e+00,-3.370997783510951695e-01
-2.942631122507946007e+00,-3.472183627841574083e-01
-2.936799888821314930e+00,-3.013956842931002633e-01
-2.933929034305282624e+00,-3.130955656659055730e-01
-2.919261666060405158e+00,-3.556809761536029457e-01
-2.946762352177358490e+00,-3.303819481257302959e-01
-2.954866265560196048e+00,-3.059502503184460265e-01
-2.947322518912193878e+00,-3.280990444432316799e-01
-2.954376119667215139e+00,-3.079477910406323016e-01
1.750797676125103730e-01,-1.066723100343027530e+00
1.747506411483727706e-01,-1.126847458489171894e+00
3.777227873421422633e+00,-1.292523555922123757e+00
2.199774766599467579e+00,-1.117050106159998224e+00
1.081607569670980151e+00,-1.024554280254522221e+00
5.772226004403174793e-01,-1.305595950218562562e+00
3.346596997313191491e+00,-1.212150302762716736e+00
-1.823443171388644313e+00,-1.249333004446038453e+00
3.391068485291313994e+00,-9.395524508655471729e-01
-1.776039095661979816e+00,-1.238169335615794564e+00
1.597781815322474097e+00,-1.391768520759653294e+00
-1.186425077010847817e-01,-1.625557768227377187e+00
-1.759536876679471007e+00,-1.610172976421099911e+00
-1.257417183998465138e+00,-1.415298134519065387e+00
1.596462250707682440e+00,-1.393017839547477710e+00
-1.174984353691710670e-01,-1.624474599549717846e+00
-1.759421966638201384e+00,-1.610064183511788594e+00
-1.258355227654463615e+00,-1.416186242270744744e+00
1.598071236557688568e+00,-1.391494506601728798e+00
-1.186597993935275819e-01,-1.625574139412236052e+00
-1.760325549545430635e+00,-1.610919665001443901e+00
-1.257293566792915929e+00,-1.415181097963477130e+00
-1.239237785252772284e+00,-1.299843944785672001e+00
-7.844662415433479863e-01,-1.179094398835878632e+00
-8.076272117190664845e-01,-1.383593265202579969e+00
-1.284316133620712286e+00,-1.529840258270913855e+00
-1.238179435566373332e+00,-1.298841935386143565e+00
-7.848378289766955174e-01,-1.179446205148807048e+00
-8.082428450244804052e-01,-1.384176125826639181e+00
-8.626657291519764792e-01,-1.419945452920936324e+00
-1.238925063155400741e+00,-1.299547870165880914e+00
-7.853823333344719382e-01,-1.179961723310325672e+00
-8.079828564572537619e-01,-1.383929977515283349e+00
-1.284276644791161770e+00,-1.529802871593434643e+00
1.807387236420551879e+00,-9.533750732476395928e-01
-1.773503822231073279e+00,-1.019159787221072033e+00
2.348308040048508183e-01,-1.023868938435883225e+00
2.873181599905925143e-01,-8.300854934479409142e-01
6.965602925610659968e-01,-8.133335560251691021e-01
1.045321536005080709e+00,-8.828839755411402868e-01
-1.971428335225066386e-01,-9.172118797990630457e-01
-1.363958694840561980e+00,-9.218317619705467258e-01
-1.323249987598213995e+00,-8.445216193147366823e-01
-1.386451025375091906e+00,-1.014354183827284483e+00
-9.437319615416841501e-01,-7.774413342115862324e-01
-1.745595552632953629e+00,2.794022888431589635e+00
-8.976601178647584944e-02,3.155241488559540564e+00
-1.754920372935954598e+00,2.641946507859292748e+00
1.144999060601907148e+00,3.000365897212363464e+00
4.360020698342697010e+00,2.800209952732722662e+00
-1.737159790472226906e+00,2.875364533557266178e+00
-1.746148477013610201e+00,2.841806636458151125e+00
1.964332326702067810e+00,3.010692364782050490e+00
1.590394644414050873e+00,3.136601658957670402e+00
-1.803419245196118625e+00,2.760470358792572299e+00
-9.956810908541183780e-01,2.862349306106641400e+00
-2.613294133518669418e-02,3.031637350614371229e+00
-1.152390433130864450e-01,2.842152153099602785e+00
4.425993504605631124e+00,3.353610183517441001e+00
-1.327757222592668374e+00,2.970983047823993140e+00
2.337589819081114850e+00,2.721002119187613921e+00
-1.406957272204884868e+00,2.639896065566913474e+00
4.023583928829301826e+00,3.142240549180937315e+00
1.864911769588268875e+00,2.969736248093906461e+00
3.501424829897590740e+00,3.082555091518465851e+00
6.367671968765311608e-01,2.926321030371113352e+00
6.446513285727339948e-01,2.865484642409763971e+00
4.865979004244126216e+00,3.285126058886318035e+00
-2.892087564865898131e+00,3.003919479018127170e+00
-2.790789088044109967e+00,3.049515605627993509e+00
-2.655015469511374793e+00,3.119421433168468205e+00
-2.229431035384439319e+00,3.338232590713672288e+00
-2.895686356656189009e+00,3.037084521480972299e+00
-2.902071187055564661e+00,3.038776020478043627e+00
-2.878717949806419707e+00,3.049742631007696936e+00
-2.551965297679916311e+00,3.222589357557247070e+00
-2.625344001864698740e+00,3.196854813469036216e+00
-2.906162073774502197e+00,3.074991727300790956e+00
-2.860626993202151525e+00,3.088079473795013463e+00
-2.775001220064858831e+00,3.136310470702218467e+00
-2.780864146197783437e+00,3.135682840416251338e+00
-2.486555996322580508e+00,3.278757623814989586e+00
-2.884237310724329983e+00,3.103595347689690698e+00
-2.566797492041260842e+00,3.250393842050518955e+00
-2.897673065221959998e+00,3.101776178900638392e+00
-2.402414352277536747e+00,3.346331219956383052e+00
