PC1,PC2
7.440007116274045984e+00,-7.147631997707984963e-01
1.404703793689140001e+00,-1.034816603774750599e+00
7.488331012964984268e+00,-8.078062376632012542e-01
-1.593036633179790440e-01,-1.043171097272879377e+00
2.129990701890649429e+00,-9.379857625056783332e-01
1.571815944873060644e+00,-8.928395962597291957e-01
-9.513881000472069749e-01,-9.642690882693133458e-01
5.135797669488432332e-02,-8.585214823000840711e-01
8.507468743389687837e-01,-8.068597300024181740e-01
-1.930853853459582492e+00,-9.694353661510918263e-01
-6.613304036710010436e-01,-9.538749061963073261e-01
6.990036513519032546e+00,-7.575280981382378487e-01
5.018238600696087737e-01,-1.075303420948628963e+00
8.030139551788845864e+00,-7.604479691628839300e-01
-1.591476229851697954e-01,-1.043043803997761865e+00
2.129736801523690826e+00,-9.381928872194097435e-01
1.571073856639154886e+00,-8.934449707806583207e-01
-9.549383921698965105e-01,-9.671653158265408612e-01
4.991168665643858776e-02,-8.597013246680741405e-01
4.013632388381913607e-01,-8.491457971418460149e-01
-1.931136424024436860e+00,-9.696658791986133563e-01
-6.613816944961365962e-01,-9.539167477958313546e-01
-1.778558327767689073e+00,-1.142334169789520626e+00
1.109869820350746661e+00,-8.869207864279243791e-01
1.800659518513705759e+00,-7.546748675564848297e-01
-3.292048695928193602e-01,-8.951424119172749494e-01
1.276032427154081050e+00,-7.761269360230130809e-01
4.828716502194122517e-01,-7.705369415620643148e-01
-8.307590593536363643e-01,-8.760608830512351952e-01
-1.086940982320884430e+00,-9.533163458677361701e-01
-1.751198816327637076e+00,-1.177212039566319923e+00
-1.711385350683976014e+00,-1.093369415544711787e+00
-1.778893335511593454e+00,-1.142607459599556119e+00
1.105608527750302716e+00,-8.903970279968763668e-01
1.801062512989754616e+00,-7.543461160998129467e-01
-3.287773363329808962e-01,-8.947936424171930581e-01
1.271163566979060411e+00,-7.800988139766785734e-01
4.856148410862051179e-01,-7.682991243040516727e-01
-8.317548777039189822e-01,-8.768732434003033704e-01
-1.089275333441668936e+00,-9.552206432637316835e-01
-1.753398851089789989e+00,-1.179006765488811004e+00
-1.712192837841190363e+00,-1.094028140651269965e+00
-3.018888437289380278e+00,-6.736881838755942598e-01
-3.020493751853406295e+00,-6.634566584325632954e-01
-3.146276681459596158e+00,-6.630979333763168393e-01
-2.865251433278838356e+00,-6.226263629669342992e-01
-2.956357701583565589e+00,-6.143310750786624697e-01
-2.784178380999272839e+00,-5.669746168362631566e-01
-3.052815018435046213e+00,-5.719307023802878698e-01
-3.002672893474215954e+00,-5.480890784487140177e-01
-3.163132484381868448e+00,-5.556669162244928240e-01
-3.042566827108762695e+00,-5.227731835908889790e-01
-3.045509903809477059e+00,-5.040153869453324331e-01
-3.171426609629335758e+00,-5.028040347688332856e-01
-3.103009720522092785e+00,-4.809625192630148094e-01
-3.185874440705569466e+00,-4.107203057815553837e-01
-3.124576312884010054e+00,-5.724565398797921700e-01
-2.992822749376403024e+00,-5.210412687678099841e-01
-3.015297153272766373e+00,-3.777999125653777046e-01
-3.057278929199797712e+00,-4.536517908323586257e-01
-3.102203781827543860e+00,-5.107458724537827788e-01
-3.172630595552355270e+00,-4.951303906865601734e-01
-3.172546115052366833e+00,-4.058408012272183285e-01
-3.167061290291945053e+00,-4.407985131575737903e-01
-3.154492889032147307e+00,-4.716102815228102596e-01
-3.180523392158816076e+00,-4.448253905916583761e-01
-3.188279131139072131e+00,-4.200406080862616465e-01
-3.181593601868166754e+00,-4.380043736296377332e-01
-3.187342697643390288e+00,-4.260089979280297090e-01
4.035415147006737868e-01,-1.528683503460972704e+00
3.464256026322823367e-01,-1.537638717276115230e+00
3.873436132712949842e+00,-1.520254604589948544e+00
2.255019869152354861e+00,-1.481299998633419213e+00
1.137892529178205159e+00,-1.454747260058220748e+00
6.205762152110620988e-01,-1.538531570776027868e+00
3.466584062466818938e+00,-1.451005780722364413e+00
-2.023686800952190445e+00,-1.545494479166163782e+00
3.818650073725335492e+00,-1.315568459171805982e+00
-1.827515706829469622e+00,-1.651182721669548714e+00
1.763231861698147496e+00,-1.538502258653210664e+00
-2.139114094486057327e-01,-1.669699871680321968e+00
-1.851482303921841543e+00,-1.708884156959725731e+00
-1.450632530295488776e+00,-1.646716725645839929e+00
1.762010915329151439e+00,-1.539498272050864314e+00
-2.128519741310991031e-01,-1.668835614414827306e+00
-1.851375988108819870e+00,-1.708797427536680402e+00
-1.451500694759889631e+00,-1.647424949577592779e+00
1.763500017713782286e+00,-1.538283504585860717e+00
-2.139274470533671091e-01,-1.669712954703142849e+00
-1.852212224914201455e+00,-1.709479605790305223e+00
-1.450518099204756828e+00,-1.646623376009548334e+00
-1.168478842675602758e+00,-1.523914380662467982e+00
-7.000026958286857948e-01,-1.468723989376294226e+00
-7.266521032115680345e-01,-1.536189452739417982e+00
-1.516916427741875184e+00,-1.652675196647892086e+00
-1.167499436481360453e+00,-1.523115408884524458e+00
-7.003461707015017357e-01,-1.469004186429800685e+00
-7.272212055048026258e-01,-1.536653710239248349e+00
-9.637696201528045403e-01,-1.596067490266338762e+00
-1.168189598287960207e+00,-1.523678423299717588e+00
-7.008500897221641157e-01,-1.469415269265752721e+00
-7.269806868335368932e-01,-1.536457501933093717e+00
-1.516879869267043990e+00,-1.652645373281645957e+00
2.014314989835055414e+00,-1.430042762918027233e+00
-1.824859140175641548e+00,-1.451182140015137234e+00
1.887036255113813954e-01,-1.405957287315414250e+00
9.592354074344235093e-02,-1.342415613276486619e+00
9.277686808632020776e-01,-1.421275980172077347e+00
1.108602598650592963e+00,-1.440743167046272255e+00
-1.678044026872599903e-01,-1.379843306768821831e+00
-1.436701326341351947e+00,-1.432138203687848721e+00
-1.234908205500802714e+00,-1.385735806721302144e+00
-1.451198177522551092e+00,-1.486789963558516670e+00
