PC1,PC2
-1.134757008958531488e+00,1.526486566978980886e+00
-1.118284534767888250e+00,-4.341013062913784415e-02
-1.090649064956528136e+00,7.637496645814264573e-01
-1.065340700695500242e+00,-5.308189446439322001e-01
-1.068637087890075721e+00,2.147729508791577091e-01
-9.834935258024843918e-01,-2.114125120069410835e-01
-1.037089409654065708e+00,-5.097973772246429114e-01
-9.137480913337185928e-01,-3.222763607328696378e-01
-8.987060656707100970e-01,-2.194572598775654804e-01
-9.378548540318701887e-01,-8.444324810499992395e-01
-9.728036159294790597e-01,-6.914801897938599451e-01
-1.160734617216521825e+00,1.379488012215781101e+00
-1.099152418661993647e+00,-2.442204508596896861e-01
-1.059676624612625906e+00,9.311252816840217550e-01
-1.065340700695500242e+00,-5.308189446439322001e-01
-1.068637087890075721e+00,2.147729508791577091e-01
-9.834935258024843918e-01,-2.114125120069410835e-01
-1.037089409654065708e+00,-5.097973772246429114e-01
-9.137480913337185928e-01,-3.222763607328696378e-01
-9.246836739287002116e-01,-3.664558146407652095e-01
-9.378548540318701887e-01,-8.444324810499992395e-01
-9.728036159294790597e-01,-6.914801897938599451e-01
-1.007116259059475105e+00,-5.567616965679516028e-01
-9.407250954109637187e-01,-1.130661362593861630e-01
-1.024835313001281945e+00,2.061423866890862711e-01
-9.649004159288859794e-01,-9.954120220648938755e-01
-9.836057020684101371e-01,-4.718166280389300971e-01
-9.495850653957177423e-01,-1.979480426074066990e-01
-8.852227566449812901e-01,-5.596128858733008249e-01
-8.931750553456938579e-01,-4.691389768475495159e-01
-1.050102336686067561e+00,-7.483633022539737389e-01
-1.024787830093266461e+00,-7.585115053921658301e-01
-1.007116259059475105e+00,-5.567616965679516028e-01
-9.407250954109637187e-01,-1.130661362593861630e-01
-1.024835313001281945e+00,2.061423866890862711e-01
-9.649004159288859794e-01,-9.954120220648938755e-01
-9.836057020684101371e-01,-4.718166280389300971e-01
-9.495850653957177423e-01,-1.979480426074066990e-01
-8.852227566449812901e-01,-5.596128858733008249e-01
-8.931750553456938579e-01,-4.691389768475495159e-01
-1.050102336686067561e+00,-7.483633022539737389e-01
-1.024787830093266461e+00,-7.585115053921658301e-01
-5.741271152635865072e-01,-1.956718531846899922e-01
-5.693029365114439244e-01,-2.003425217546119241e-01
-5.599478321358782873e-01,-4.878705893599381005e-01
-5.618619207445962882e-01,1.504869384379085018e-01
-5.513892771710803276e-01,-5.856006372797745163e-02
-5.421834471172219949e-01,3.303422620417825195e-01
-5.248360377570894242e-01,-2.831759611269364374e-01
-5.175315204159977034e-01,-1.709034762993514867e-01
-5.092939552383823898e-01,-5.369126093441181080e-01
-5.029704786694849661e-01,-2.645642145910380161e-01
-4.941261509572237309e-01,-2.731271069692281506e-01
-4.843690316856462119e-01,-5.610443969553811083e-01
-4.793198490176625026e-01,-4.068068227422884098e-01
-4.409514229163639110e-01,-6.030804140846782735e-01
-5.198348480247763082e-01,-4.471440948606998367e-01
-5.318624835849083965e-01,-2.814780030519525300e-01
-4.643239810549136815e-01,-3.468673630308591327e-01
-4.961514070527295872e-01,-4.353972826280076980e-01
-5.191345053382845354e-01,-5.324900946033463978e-01
