PC1,PC2,PC3
-1.134757008958535263e+00,1.526486566979182058e+00,2.186350832717105508e+00
-1.118284534767889360e+00,-4.341013062904425235e-02,9.983345811164319183e-01
-1.090649064956531022e+00,7.637496645815868845e-01,1.725084027151864596e+00
-1.065340700695500686e+00,-5.308189446438768000e-01,5.803934361600182612e-01
-1.068637087890077719e+00,2.147729508792717845e-01,1.227180792300953449e+00
-9.834935258024851690e-01,-2.114125120068804931e-01,6.508442496962766333e-01
-1.037089409654066374e+00,-5.097973772245774082e-01,6.931303931646775052e-01
-9.137480913337189259e-01,-3.222763607328503199e-01,2.186906150301999585e-01
-8.987060656707106521e-01,-2.194572598775401673e-01,2.849195789048131755e-01
-9.378548540318698556e-01,-8.444324810499980183e-01,7.331870413890079208e-03
-9.728036159294792817e-01,-6.914801897938258612e-01,3.554198505371691796e-01
-1.160734617216525377e+00,1.379488012215984494e+00,2.204430297343299650e+00
-1.099152418661994313e+00,-2.442204508596204082e-01,7.366758993021123025e-01
-1.059676624612628792e+00,9.311252816841786295e-01,1.696053030222547164e+00
-1.065340700695500686e+00,-5.308189446438768000e-01,5.803934361600182612e-01
-1.068637087890077719e+00,2.147729508792717845e-01,1.227180792300953449e+00
-9.834935258024851690e-01,-2.114125120068804931e-01,6.508442496962766333e-01
-1.037089409654066374e+00,-5.097973772245774082e-01,6.931303931646775052e-01
-9.137480913337189259e-01,-3.222763607328503199e-01,2.186906150301999585e-01
-9.246836739287007667e-01,-3.664558146407375094e-01,3.029990435310073726e-01
-9.378548540318698556e-01,-8.444324810499980183e-01,7.331870413890079208e-03
-9.728036159294792817e-01,-6.914801897938258612e-01,3.554198505371691796e-01
-1.007116259059474661e+00,-5.567616965679652585e-01,-1.422226759428394383e-01
-9.407250954109637187e-01,-1.130661362593928521e-01,-4.320057926641310275e-02
-1.024835313001282833e+00,2.061423866891687884e-01,8.904586506868057416e-01
-9.649004159288854243e-01,-9.954120220648809969e-01,1.117775855406193397e-01
-9.836057020684104701e-01,-4.718166280388812472e-01,5.093534777806114633e-01
-9.495850653957180754e-01,-1.979480426073612631e-01,4.882310501245282763e-01
-8.852227566449806240e-01,-5.596128858733238065e-01,-2.425800699079188605e-01
-8.931750553456931918e-01,-4.691389768475897615e-01,-4.054990164526915963e-01
-1.050102336686067117e+00,-7.483633022539767365e-01,-3.939136117939071036e-02
-1.024787830093265795e+00,-7.585115053921650530e-01,-7.530845439837868804e-03
-1.007116259059474661e+00,-5.567616965679652585e-01,-1.422226759428394383e-01
-9.407250954109637187e-01,-1.130661362593928521e-01,-4.320057926641310275e-02
-1.024835313001282833e+00,2.061423866891687884e-01,8.904586506868057416e-01
-9.649004159288854243e-01,-9.954120220648809969e-01,1.117775855406193397e-01
-9.836057020684104701e-01,-4.718166280388812472e-01,5.093534777806114633e-01
-9.495850653957180754e-01,-1.979480426073612631e-01,4.882310501245282763e-01
-8.852227566449806240e-01,-5.596128858733238065e-01,-2.425800699079188605e-01
-8.931750553456931918e-01,-4.691389768475897615e-01,-4.054990164526915963e-01
-1.050102336686067117e+00,-7.483633022539767365e-01,-3.939136117939071036e-02
-1.024787830093265795e+00,-7.585115053921650530e-01,-7.530845439837868804e-03
-5.741271152635851749e-01,-1.956718531847324583e-01,-4.711467874572489722e-01
-5.693029365114425921e-01,-2.003425217546541681e-01,-4.688523260179152663e-01
-5.599478321358762889e-01,-4.878705893600057131e-01,-7.411319884954019610e-01
-5.618619207445958441e-01,1.504869384378996200e-01,-1.095186834524068675e-01
-5.513892771710793284e-01,-5.856006372800426352e-02,-3.022013655197066107e-01
-5.421834471172217729e-01,3.303422620417927891e-01,9.750438261072857937e-02
-5.248360377570879809e-01,-2.831759611269804022e-01,-4.872358427892271582e-01
-5.175315204159965932e-01,-1.709034762993841827e-01,-3.651635004947239582e-01
-5.092939552383803914e-01,-5.369126093441833891e-01,-7.170401433823976323e-01
-5.029704786694837448e-01,-2.645642145910773735e-01,-4.373034812270763516e-01
-4.941261509572225652e-01,-2.731271069692671749e-01,-4.330969685882978260e-01
-4.843690316856443800e-01,-5.610443969554455013e-01,-7.051854259458399943e-01
-4.793198490176610038e-01,-4.068068227423378147e-01,-5.446530292858546840e-01
-4.409514229163622456e-01,-6.030804140847407790e-01,-6.845352729918363632e-01
-5.198348480247746428e-01,-4.471440948607583454e-01,-6.429881114506006412e-01
-5.318624835849073973e-01,-2.814780030519698495e-01,-2.182256021756195097e-01
-4.643239810549128488e-01,-3.468673630308735101e-01,-1.861031420249471824e-01
-4.961514070527285325e-01,-4.353972826280344544e-01,-3.198389966360635217e-01
-5.191345053382828700e-01,-5.324900946033851445e-01,-4.493683386084014186e-01
-4.807508976215375540e-01,-5.645473983828868114e-01,-7.034645798663397009e-01
-4.657347733815817015e-01,-7.035351589358292967e-01,-5.425687077912884071e-01
-4.822173841180683596e-01,-6.875770413219302046e-01,-5.504081177090119903e-01
-4.452016504540832198e-01,-3.949529252321938300e-01,-7.612452417780332103e-01
-4.570320187568371328e-01,-5.875115188516684128e-01,-6.921834777896155311e-01
-4.711177217326992239e-01,-7.381050230856314176e-01,-5.846616594357155750e-01
-4.538158995887421887e-01,-5.906252978982828861e-01,-6.906538368300596531e-01
-4.739318260047823417e-01,-7.353804664198437813e-01,-5.860000952753269265e-01
-1.292191070312026069e+00,1.137971941301014894e-01,1.239421835000652228e-01
-1.325525218347240575e+00,3.410131463119277506e-01,4.970264425266882613e-01
-1.252379495829294642e+00,7.671288667508421311e-01,5.681989683967964000e-01
-1.302388866662264499e+00,5.532389763240708191e-01,6.868139917475651890e-01
-1.221664541304391838e+00,5.261551844340057738e-01,2.705393221765364231e-01
