PC1,PC2,PC3
7.440007116278251509e+00,-7.147632010806580505e-01,-1.631114559549683152e-01
1.404703793690276870e+00,-1.034816604133290907e+00,3.637394983313241292e-01
7.488331012965163680e+00,-8.078062377115339254e-01,1.259295101263022465e+00
-1.593036633171363570e-01,-1.043171097539941972e+00,4.468546229067095199e-01
2.129990701889101778e+00,-9.379857620049339983e-01,5.947208090625866195e-01
1.571815944872409165e+00,-8.928395960394857056e-01,6.237207019969327471e-01
-9.513881000488947359e-01,-9.642690877383768289e-01,3.880291125026920085e-01
5.135797669645674607e-02,-8.585214827736031840e-01,2.815380048448393527e-02
8.507468743374630993e-01,-8.068597295453816542e-01,4.421126266928862569e-02
-1.930853853459388203e+00,-9.694353662004693284e-01,3.513750876838173109e-01
-6.613304036704492628e-01,-9.538749063570045594e-01,6.673024072664385242e-01
6.990036513523667949e+00,-7.575280995820031782e-01,-3.495635706861275477e-02
5.018238600705180463e-01,-1.075303421239035107e+00,2.564419393908453637e-01
8.030139551788284535e+00,-7.604479689893913763e-01,1.084948027556558836e+00
-1.591476229843273860e-01,-1.043043804264754293e+00,4.468092706858300955e-01
2.129736801522144063e+00,-9.381928867187796506e-01,5.947946037367989325e-01
1.571073856638504740e+00,-8.934449705607490078e-01,6.239363856531396912e-01
-9.549383921715787205e-01,-9.671653152972026213e-01,3.890609843888613861e-01
4.991168665801320320e-02,-8.597013251422442881e-01,2.857415632517132723e-02
4.013632388371132231e-01,-8.491457968184509264e-01,1.721957629156401770e-01
-1.931136424024242126e+00,-9.696658792481180900e-01,3.514572151853456727e-01
-6.613816944955848154e-01,-9.539167479565516805e-01,6.673173146483234452e-01
-1.778558327767478131e+00,-1.142334169843710168e+00,-1.785373766699610842e-01
1.109869820352511693e+00,-8.869207869758541918e-01,4.549908035027946940e-02
1.800659518510087542e+00,-7.546748664316271782e-01,-3.555716925041642051e-01
-3.292048695924774671e-01,-8.951424120218464120e-01,7.393547130822465396e-01
1.276032427150815884e+00,-7.761269350232298248e-01,4.084248545333130087e-01
4.828716502167714753e-01,-7.705369407270260540e-01,-1.004102279415736015e-01
-8.307590593545821633e-01,-8.760608827552632816e-01,-3.262354673211768086e-01
-1.086940982318767457e+00,-9.533163465161587080e-01,-1.691512671787573086e-01
-1.751198816327230068e+00,-1.177212039696038381e+00,1.108926460814624593e-01
-1.711385350683345408e+00,-1.093369415746220152e+00,-2.045139340224987612e-01
-1.778893335511382068e+00,-1.142607459653896651e+00,-1.784400086054080126e-01
1.105608527752074188e+00,-8.903970285467245338e-01,4.673760041600541482e-02
1.801062512986135955e+00,-7.543461149747741068e-01,-3.556888205194785879e-01
-3.287773363326396692e-01,-8.947936425215718970e-01,7.392304530112482341e-01
1.271163566975802572e+00,-7.800988129790872305e-01,4.098399606030884712e-01
4.856148410835602336e-01,-7.682991234677785108e-01,-1.012075205124440686e-01
-8.317548777048633379e-01,-8.768732431047795428e-01,-3.259460384731049931e-01
-1.089275333439548632e+00,-9.552206439132051585e-01,-1.684728015171315374e-01
-1.753398851089380317e+00,-1.179006765619519559e+00,1.115320734697477223e-01
-1.712192837840558646e+00,-1.094028140853141817e+00,-2.042792425472122197e-01
-3.018888437286459503e+00,-6.736881848077576063e-01,-3.399495275951875950e-01
-3.020493751850509057e+00,-6.634566593571937787e-01,-3.308103809883958246e-01
-3.146276681457210067e+00,-6.630979341272197347e-01,-3.442915185772085218e-01
-2.865251433275379789e+00,-6.226263640845279834e-01,-2.765945052825125594e-01
-2.956357701580491160e+00,-6.143310760662463732e-01,-2.790431312263280672e-01
-2.784178380995579793e+00,-5.669746180367856159e-01,-2.170262130462481953e-01
-3.052815018432434968e+00,-5.719307032127517454e-01,-2.510279351475043774e-01
-3.002672893471441729e+00,-5.480890793379660231e-01,-2.238168299720847965e-01
-3.163132484379732823e+00,-5.556669168962995453e-01,-2.483304792058947386e-01
-3.042566827106193195e+00,-5.227731844119410942e-01,-2.051471151450086627e-01
-3.045509903806951080e+00,-5.040153877525741510e-01,-1.883920130325573150e-01
-3.171426609627323145e+00,-5.028040354017198066e-01,-2.011115550708038602e-01
-3.103009720519839476e+00,-4.809625199789422934e-01,-1.737153629268476940e-01
-3.185874440703771349e+00,-4.107203063466451920e-01,-1.188592356096778713e-01
-3.124576312881689688e+00,-5.724565406135211365e-01,-2.593842385273110729e-01
-2.992822749372757052e+00,-5.210412699320660090e-01,-2.609720974916127645e-01
-3.015297153269453911e+00,-3.777999136241723677e-01,-1.330240449965277572e-01
-3.057278929196527439e+00,-4.536517918726576393e-01,-2.066924787564721755e-01
-3.102203781824359297e+00,-5.107458734617760232e-01,-2.636058104039650796e-01
-3.172630595550360866e+00,-4.951303913137967139e-01,-1.942571951157101018e-01
-3.172546115049645454e+00,-4.058408020836335450e-01,-1.758159874439212955e-01
-3.167061290289142406e+00,-4.407985140397266410e-01,-2.070414050171265896e-01
-3.154492889030996672e+00,-4.716102818873732505e-01,-1.079896384228858364e-01
-3.180523392156938911e+00,-4.448253911818579875e-01,-1.493230576323171244e-01
-3.188279131136390276e+00,-4.200406089283511002e-01,-1.904713898732117161e-01
-3.181593601866305576e+00,-4.380043742148153618e-01,-1.432302932277893515e-01
-3.187342697640694666e+00,-4.260089987745133144e-01,-1.958025587271735035e-01
4.035415147054219331e-01,-1.528683504921879210e+00,-5.064328501383095205e-01
3.464256026303660918e-01,-1.537638716668130678e+00,-3.853365081613968068e-01
3.873436132706555401e+00,-1.520254602588108517e+00,1.503860431194352087e-01
2.255019869151411616e+00,-1.481299998334860257e+00,-2.364436754654886119e-01
1.137892529172293665e+00,-1.454747258195117299e+00,-4.065725802987417148e-01
6.205762152114147057e-01,-1.538531570860644848e+00,8.731291429885040811e-02
3.466584062464498572e+00,-1.451005779979164245e+00,3.107785671847868025e-02
-2.023686800949715980e+00,-1.545494479923282816e+00,-4.977752340470209536e-03
3.818650073721938654e+00,-1.315568458110798478e+00,-4.493048423416844961e-01
-1.827515706827290920e+00,-1.651182722340460041e+00,-2.318231380366433392e-01
1.763231861691872515e+00,-1.538502256671194113e+00,8.522717303457422178e-02
-2.139114094511387343e-01,-1.669699870862231705e+00,3.957266843560640623e-01
-1.851482303925065853e+00,-1.708884155933221072e+00,2.475676551620529797e-01
-1.450632530302362611e+00,-1.646716723474514588e+00,-5.232281449889328306e-02
1.762010915322878679e+00,-1.539498270069397767e+00,8.558203404013370319e-02
-2.128519741336336590e-01,-1.668835613596260092e+00,3.954187656041496801e-01
-1.851375988112044180e+00,-1.708797426510128004e+00,2.475367550854617460e-01
-1.451500694766761912e+00,-1.647424947406658458e+00,-5.207048751496398675e-02
1.763500017707507306e+00,-1.538283502603723596e+00,8.514923503846610897e-02
-2.139274470559000552e-01,-1.669712953885059692e+00,3.957313455931967816e-01
-1.852212224917424654e+00,-1.709479604764129190e+00,2.477798024798265053e-01
-1.450518099211630663e+00,-1.646623373838171478e+00,-5.235607323404786739e-02
-1.168478842677945106e+00,-1.523914379901075700e+00,-1.562262142388920194e-01
-7.000026958306149183e-01,-1.468723988747161924e+00,-3.387405107016621120e-01
-7.266521032169562799e-01,-1.536189451039364995e+00,4.499108788228928235e-03
-1.516916427747480922e+00,-1.652675194878822751e+00,2.114700820538148451e-01
-1.167499436483704134e+00,-1.523115408122691194e+00,-1.565108729886664773e-01
-7.003461707034304151e-01,-1.469004185800822926e+00,-3.386406817150275916e-01
-7.272212055101899830e-01,-1.536653708539451602e+00,4.664515080570447170e-03
-9.637696201591630096e-01,-1.596067488270340062e+00,3.382760606147044991e-02
-1.168189598290303000e+00,-1.523678422538194743e+00,-1.563102814484416958e-01
-7.008500897240919070e-01,-1.469415268637001892e+00,-3.384942205641254809e-01
-7.269806868389246945e-01,-1.536457500233188389e+00,4.594609718870296122e-03
-1.516879869272649950e+00,-1.652645371512559969e+00,2.114594565443988494e-01
2.014314989837302061e+00,-1.430042763643062376e+00,-3.593244587563004799e-01
-1.824859140167741645e+00,-1.451182142472219549e+00,-2.212219133199208321e-01
1.887036255164669107e-01,-1.405957288903574298e+00,-1.390806037182711619e-01
9.592354074559754362e-02,-1.342415613949895503e+00,-4.097966412204622211e-01
9.277686808644364236e-01,-1.421275980573009523e+00,-7.212849023631082712e-01
1.108602598655214599e+00,-1.440743168494386772e+00,-5.443211071131339729e-01
-1.678044026835231461e-01,-1.379843307960347598e+00,-3.640520322962744748e-01
-1.436701326337436191e+00,-1.432138204935202719e+00,-4.231429814548105517e-01
-1.234908205497173839e+00,-1.385735807873341496e+00,-5.620637889266049125e-01
-1.451198177517621479e+00,-1.486789965112547574e+00,-3.134685412137601102e-01
-7.208032450504427979e-01,-1.393643182221020016e+00,-7.792267352803858849e-01
-1.865487489328419679e+00,3.615321406281432282e+00,3.205514183629609715e-01
2.226052379400109138e-01,3.815884116021468042e+00,-2.626355600957954728e-01
-1.996619642789269289e+00,3.586497334091423905e+00,6.612302534059228964e-01
1.290373217851642940e+00,3.823778303599272732e+00,1.901365634186792386e-01
4.833142989707144288e+00,3.926483310220149736e+00,8.589240237003179512e-01
-1.844201737489266524e+00,3.723408332612340388e+00,2.962533818833788524e-01
-1.839287406704233074e+00,3.727056899566059123e+00,3.728954469392661841e-01
2.101486262708010422e+00,3.984059601097055925e+00,4.368714699047073213e-01
1.713226669215389686e+00,4.026800344151712174e+00,2.436574447493946582e-01
-1.924430175330853032e+00,3.792314053360653414e+00,6.583027191036657788e-01
-9.827461382403986923e-01,3.859754124356319593e+00,5.144824926821748301e-01
-1.190457130387798379e-01,3.945810996279158100e+00,3.534712904089267194e-01
-2.470056236146253026e-01,3.892283278013245695e+00,7.008018006498135666e-01
4.893709112290043350e+00,4.265963224362478989e+00,1.503066565376408870e-01
-1.434006825861905199e+00,3.920841469725528938e+00,4.113548382875087395e-01
2.130768072379761513e+00,3.974804505604785376e+00,1.233806926940744120e+00
-1.682477648623414535e+00,3.827326754603973757e+00,1.060247369800271899e+00
4.251139762952351298e+00,4.222450337487246408e+00,6.249304566430242680e-01
2.240567189412158822e+00,4.112661081187271250e+00,6.845989720078238250e-01
3.763662766678366189e+00,4.214885685054400533e+00,7.388508679461158746e-01
8.774385437218972239e-01,4.086602434159803288e+00,7.592675414720624349e-01
7.627985448796658074e-01,4.080610003706302003e+00,9.262430871457374426e-01
5.194690223823463349e+00,4.386793595088545494e+00,5.544455789196296447e-01
-3.134009653962139375e+00,4.119236250072572325e+00,6.756022266301907608e-01
-3.040736930632771617e+00,4.164797980646205211e+00,6.801596729263875707e-01
-2.917372199569633562e+00,4.247814271466034519e+00,7.038717349258133416e-01
-2.525319346060334702e+00,4.456667417417938815e+00,7.067575088232990188e-01
-3.144513407393763060e+00,4.210690413902008267e+00,7.538173656501172548e-01
-3.151940033153866949e+00,4.225790658478814521e+00,7.718755853835217451e-01
-3.131589805878914667e+00,4.247604087015640850e+00,7.880798791355656530e-01
-2.833444748994806250e+00,4.438671909301938889e+00,8.260568992267021127e-01
-2.903038384622120827e+00,4.430142050604485071e+00,8.461315181129853702e-01
-3.163588915864442352e+00,4.325928237935622533e+00,8.576506922823432522e-01
-3.122455332184145504e+00,4.348749754352598806e+00,8.740336794287983935e-01
-3.043665880620572306e+00,4.394595795464875998e+00,8.736904920731582980e-01
-3.050057686092148224e+00,4.402846153389446293e+00,8.856662331326650150e-01
-2.778677309335888967e+00,4.538976837713351919e+00,8.883445693705902535e-01
-3.148285235392958903e+00,4.395559766621565778e+00,9.143483061265259559e-01
-2.855379684362141290e+00,4.535227208710073121e+00,9.184351592170633127e-01
-3.162858318767023391e+00,4.413485955524117266e+00,9.409880308668477911e-01
-2.705329749710133402e+00,4.637127257431346017e+00,9.322231782216306994e-01
-2.898558556598087588e+00,4.559228602762927629e+00,9.572877350871993318e-01
-2.795380546772252561e+00,4.623450122509802362e+00,9.669161240514482225e-01
-2.993093607688830815e+00,4.561686756960859235e+00,9.899556046881425875e-01
-2.985951262295429842e+00,4.587710196787750938e+00,1.003056722891453756e+00
-2.665619538057769411e+00,4.752078149415273067e+00,1.019123144143399440e+00
-3.214162460629050422e+00,4.630904640784851978e+00,1.132526736978106907e+00
-3.087101457015786199e+00,4.691930538905983106e+00,1.136373927775691683e+00
-3.211936928457008733e+00,4.664458179435738927e+00,1.155729469733800308e+00
-2.997471910755246771e+00,4.759525975965143374e+00,1.160780813378960996e+00
-2.714945801766944111e+00,4.915328369890372251e+00,1.168169563901180430e+00
-3.222095101131456030e+00,4.724456245575519908e+00,1.209994596885175078e+00
-3.217946164804313280e+00,4.736900152576731138e+00,1.233798559283070695e+00
-3.216785162363912320e+00,4.755158908690436448e+00,1.246469977444158550e+00
-2.951896114346227673e+00,4.931196775346111671e+00,1.285002551422737449e+00
-2.990883702755570805e+00,4.935535108770570112e+00,1.305291812458967415e+00
-3.200559740606679249e+00,4.862089170220501799e+00,1.330362834665919980e+00
-3.123719022597172046e+00,4.906345489803095816e+00,1.330586035454857985e+00
-3.132803726913811815e+00,4.912399057272488712e+00,1.343344451999788802e+00
-2.744171891489408210e+00,5.104996822323668582e+00,1.337106525290204795e+00
-3.251647863879873590e+00,4.901355353951298177e+00,1.369631218427078689e+00
-2.935571818913339737e+00,5.046863516850448761e+00,1.375371099987247936e+00
-3.243323682801180219e+00,4.924899370806361532e+00,1.398003384207096023e+00
-2.756821883101667758e+00,5.160076859411550032e+00,1.389927742412414569e+00
-2.885706981722395703e+00,5.122568623297302892e+00,1.405401285234344044e+00
-2.871271935988299440e+00,5.138594856642386688e+00,1.422602078046583784e+00
-3.078568311327675833e+00,5.069013695155225818e+00,1.448426893632485779e+00
-3.066348741747790374e+00,5.099178990385306420e+00,1.460052345970349386e+00
-2.780270184031408132e+00,5.247703534466027442e+00,1.476964139218942762e+00
-3.292066835968558536e+00,5.144407237965084256e+00,1.588797753755760489e+00
-3.168457288340496891e+00,5.202617536243446139e+00,1.593648090287389518e+00
-3.072924734473785779e+00,5.275028479384406666e+00,1.616339300846981963e+00
-2.796567984451126865e+00,5.425798085347645738e+00,1.625521139896103584e+00
-3.305821660451158550e+00,5.233209270294304716e+00,1.667957797786744134e+00
-3.308403283817712648e+00,5.252261930325917483e+00,1.684607845576667096e+00
-3.307455945856881740e+00,5.270346385020841851e+00,1.697341364083845505e+00
-3.029550141880908765e+00,5.444903599160824115e+00,1.741200806057829897e+00
-3.067194112702388953e+00,5.450338017682512692e+00,1.761099552407727309e+00
-3.320822221257685669e+00,5.351771320988108371e+00,1.770606764431975400e+00
-3.280988137564609275e+00,5.373532742194431222e+00,1.787367443739118045e+00
-3.203403730965733942e+00,5.418395741822859435e+00,1.787374495737783064e+00
-3.211540173594477743e+00,5.425222874266220074e+00,1.799857305503705263e+00
-2.829194602534897740e+00,5.612692483248455488e+00,1.795446445199627927e+00
-3.309160132620634798e+00,5.418432142401405471e+00,1.828362785895870868e+00
-3.015677352668834743e+00,5.558570471462289220e+00,1.832281870736680141e+00
-3.325250772926487741e+00,5.435120351426229846e+00,1.855443579787536379e+00
-2.863163313252993891e+00,5.662480666920290062e+00,1.845353711933193974e+00
-3.057713809453935117e+00,5.583503815618975352e+00,1.870802410158739271e+00
-2.952591833090310480e+00,5.649311168098938296e+00,1.879865796484139651e+00
-3.151751172695293590e+00,5.586367969440393821e+00,1.903325629662697693e+00
-3.142756421526742727e+00,5.613902549328645186e+00,1.915888356833637118e+00
-2.826979592692044019e+00,5.774554747551244205e+00,1.933278632108954120e+00
-3.402628072859875452e+00,6.182201848821376799e+00,2.504963656172919162e+00
-3.361472428874748175e+00,6.211370166271725779e+00,2.507893833132892158e+00
-3.237488178646225290e+00,6.294891843245146390e+00,2.531425835467475682e+00
-2.956014343100972219e+00,6.449835822358334525e+00,2.539120423184191733e+00
-3.466246505942105927e+00,6.256448785508808896e+00,2.581841472619931022e+00
-3.193686234394130352e+00,6.465115584377207014e+00,2.656163133388495634e+00
-3.227191413583460289e+00,6.473926311656329702e+00,2.674858963871092232e+00
-3.482391389005989879e+00,6.374077330580144363e+00,2.684823029915531567e+00
-3.442638344589626698e+00,6.395772642244361705e+00,2.701607262820075572e+00
-3.365444958175912937e+00,6.440316658702620600e+00,2.701727962575615205e+00
-3.372610813590528167e+00,6.447935568650665417e+00,2.713928676777362714e+00
-2.987259559317864355e+00,6.637857128698904319e+00,2.708644232019067122e+00
-3.466508924658214141e+00,6.444181014726876100e+00,2.741352423571212338e+00
-3.176182306733317695e+00,6.581744636375928437e+00,2.746188828663768344e+00
-3.484255433468129048e+00,6.459518413218502175e+00,2.768914486073315917e+00
-3.026095030453804124e+00,6.683675147337192257e+00,2.759965994540122036e+00
-3.220461599276714715e+00,6.604848338771141414e+00,2.785361235336270003e+00
-3.113110236950718424e+00,6.672474361050758418e+00,2.793776663516679637e+00
-3.313867389611528935e+00,6.608227711846110353e+00,2.817700891825185128e+00
-3.305550371957139966e+00,6.635209415967121771e+00,2.830460598324983312e+00
-3.018892303961985046e+00,6.784206708087161530e+00,2.847203960260391131e+00
-3.483814811307208714e+00,6.693026787329463545e+00,2.962188672817096080e+00
-3.440543088796605531e+00,6.723921341588036782e+00,2.964503823783740000e+00
-3.348446361911729952e+00,6.793529434583632565e+00,2.988193637597877927e+00
-3.034754841745473719e+00,6.962656333874960524e+00,2.995634454367978261e+00
-3.551400707488024722e+00,6.785195855324300140e+00,3.056119323362539664e+00
-3.536208221574487887e+00,6.802801744831652897e+00,3.073822684831566843e+00
-3.272533582303474908e+00,6.977848931295882906e+00,3.112708219693562040e+00
-3.304984081841537247e+00,6.987520036303424220e+00,3.131097513631150964e+00
-3.517647483943179054e+00,6.911637090777121628e+00,3.157036795991734035e+00
-3.443407797565050110e+00,6.953771562570336684e+00,3.158015971591394244e+00
-3.453219517264127347e+00,6.959232051522935336e+00,3.170985690955367975e+00
-3.065068628381943938e+00,7.151437474033905062e+00,3.164887548578599219e+00
-3.549826689632063825e+00,6.953267522271705303e+00,3.199196810758829113e+00
-3.256199083185745025e+00,7.093523996676738719e+00,3.203073802616046795e+00
-3.564937935093714927e+00,6.970754693815875314e+00,3.225992949199544046e+00
-3.079317885854992110e+00,7.205212875418624208e+00,3.218173583080120803e+00
-3.331692399123085124e+00,7.103263537239628889e+00,3.242208271900284711e+00
-3.158763252104235697e+00,7.200187349979357165e+00,3.249784121739384357e+00
-3.394554408552539648e+00,7.119460307345756078e+00,3.274780667883031793e+00
-3.383340668057117639e+00,7.148805075753472238e+00,3.286698458630999742e+00
-3.069112813061482647e+00,7.308193665076981205e+00,3.304538934200181632e+00
-3.615291931161412897e+00,7.188948481051134820e+00,3.417255500927149026e+00
-3.490378661331713595e+00,7.248222318902849182e+00,3.421726918135872264e+00
-3.396874983642721446e+00,7.318978162436142298e+00,3.445007809830414214e+00
-3.115814051157351106e+00,7.473585306950985441e+00,3.452822405435068465e+00
-3.625280631184356395e+00,7.280822810834509440e+00,3.495320942650648188e+00
-3.620683350000224898e+00,7.310944108117613638e+00,3.532003453017369399e+00
-3.316653808773192935e+00,7.506812325733230651e+00,3.568270181744235270e+00
-3.383138804985873271e+00,7.500818406849177222e+00,3.587441292551365901e+00
-3.643744792517553677e+00,7.396559354513266626e+00,3.598976584770710030e+00
-3.605224112609173304e+00,7.417249338185534668e+00,3.616118997296918547e+00
-3.527535172153360321e+00,7.462197613567852272e+00,3.616095667134229696e+00
-3.531517772998563842e+00,7.472413332255040785e+00,3.627371186793333369e+00
-3.145519339516067436e+00,7.662862842736155145e+00,3.621898643138139473e+00
-3.627356332092024793e+00,7.467075815900409808e+00,3.655358913590850189e+00
-3.338639263163028836e+00,7.603326413156503705e+00,3.660663124796506462e+00
-3.648090636453945379e+00,7.479975855572300603e+00,3.683789361601863543e+00
-3.191212265717195962e+00,7.703086744142142450e+00,3.675213485340505404e+00
-3.410872439368427322e+00,7.615725483192179013e+00,3.698850053309977515e+00
-3.277096213851360851e+00,7.692808806323702342e+00,3.708695360612157099e+00
-3.473173041830924568e+00,7.632380233169605788e+00,3.731259279602489709e+00
-3.466075188589444522e+00,7.658367377561615896e+00,3.744373329192610012e+00
-3.179026554410678607e+00,7.807683282490245347e+00,3.761003175324070913e+00
-3.691579550230410511e+00,7.703769982114414105e+00,3.873056616838991051e+00
-3.571537535433901844e+00,7.759069988352933933e+00,3.878943836169178372e+00
-3.476244841936209085e+00,7.831285260211922505e+00,3.901704760758727186e+00
-3.118328783000829052e+00,8.024389930549126859e+00,3.905402083818944714e+00
-3.713874734376023667e+00,7.806763706509451950e+00,3.970598580925317922e+00
-3.693672965607992076e+00,7.828456026809483603e+00,3.986846023284365881e+00
